pid,title,journal_title,journal_area,year,period_3,method_types,method_labels,causal_design_quotes,any_tough_call
S0102-69092015000100019,Migrações e trabalho no Brasil: fatores étnico-nacionais e raciais,Revista Brasileira de Ciências Sociais,Ciência Política e Ciências Sociais,2015,2012-2018,matching_or_weighting,Pareamento ou ponderação,"foi constituído um pareamento (matching) entre os imigrantes internacionais e brasileiros, a fim de selecionar os indivíduos similares",FALSE
S0102-85292016000100241,Public Opinion and Framing Effects of Argentine Foreign Policy Toward Brazil: Evidence from a Survey Experiment in Urban Centers in Argentina,Contexto Internacional,Relações Internacionais,2016,2012-2018,experiment_survey,Experimento em survey,respondents were randomly assigned to one of the four experimental groups. The experimental stimulus was administrated in the middle of the questionnaire,FALSE
S0011-52582016000300867,As Organizações Sociais de Saúde e o Desempenho do SUS: Um Estudo sobre a Atenção Básica em São Paulo,Dados,Ciência Política e Ciências Sociais,2016,2012-2018,difference_in_differences,Diferenças-em-diferenças,coletamos dados de diversas fontes e utilizamos o método da diferença-em-diferenças,FALSE
S0104-62762016000100195,Efeitos de enquadramento em política externa: evidência empírica de países emergentes e a rivalidade argentino-brasileira,Opinião Pública,Ciência Política,2016,2012-2018,experiment_survey,Experimento em survey,Participants were randomly assigned to one of the two experimental treatments or to the control group.,FALSE
S0104-62762016000300638,O eleitor antipetista: partidarismo e avaliação retrospectiva,Opinião Pública,Ciência Política,2016,2012-2018,instrumental_variables,Variáveis instrumentais,"""Optamos por ajustar um modelo em dois estágios em função da relação de endogeneidade identificada para algumas das variáveis no modelo""",TRUE
S1981-38212017000200203,Future electoral impacts of having a female mayor,Brazilian Political Science Review,Ciência Política,2017,2012-2018,regression_discontinuity,Regressão descontínua,"Our empirical strategy is to apply a sharp regression discontinuity approach in the same way as Lee, Moretti, and Butler (2004) and Lee (2008).",FALSE
S0104-62762017000300714,A eficácia do pork barrel: a importância de emendas orçamentárias e prefeitos aliados na eleição de deputados,Opinião Pública,Ciência Política,2017,2012-2018,regression_discontinuity,Regressão descontínua,"Próximo à descontinuidade há uma atribuição aleatória do tratamento, que permite testar seu efeito com grau razoável de validade interna — método conhecido como regressão descontínua (RD).",FALSE
S0104-44782017000300079,Magnitude eleitoral e representação de mulheres nos municípios brasileiros,Revista de Sociologia e Política,Ciência Política,2017,2012-2018,regression_discontinuity,Regressão descontínua,A abordagem utilizada é quase-experimental: a regressão descontínua (RD).,FALSE
S1981-38212018000200205,Affirmative Action Attitudes of Whites: Evidence from a List Experiment Survey in Brazil,Brazilian Political Science Review,Ciência Política,2018,2012-2018,experiment_list; experiment_survey,Experimento de lista; Experimento em survey,"The list experiment embedded in the survey randomly assigned respondents to a baseline group, the control group or the treatment group.",FALSE
S0011-52582018000200405,"Oferta, Demanda e Nota de Corte: Experimento Natural sobre Efeitos da Lei das Cotas no Acesso à Universidade Federal de Minas Gerais",Dados,Ciência Política e Ciências Sociais,2018,2012-2018,matching_or_weighting,Pareamento ou ponderação,"Um experimento natural, com atribuição “como se” aleatória ao tratamento (neste caso, maior percentual de vagas reservadas em 2015 em relação a 2014) para indivíduos de certa idade, e uma estratégia de pareamento conhecida como fronteira de pareamento (matching frontier), possibilitam inferências causais",FALSE
S0104-62762018000200328,"Respondem os políticos a questionamentos dos eleitores? Um experimento controlando os incentivos de mensagem, período e meio",Opinião Pública,Ciência Política,2018,2012-2018,experiment_field,Experimento de campo,"Para descobrir as respostas a essas questões, realizamos um experimento, dividido em quatro rodadas, ao longo de um ano e meio de aplicações.",FALSE
S1981-38212019000200202,Migrant Remittances and Rights to Physical Integrity: A Cross-section Study of Latin America (1981-2014),Brazilian Political Science Review,Ciência Política,2019,2019-2025,instrumental_variables,Variáveis instrumentais,"Therefore, an econometric approach based on instrumental variables is in order.",FALSE
S0011-52582019000400204,Carreiras Políticas na Câmara dos Deputados: Uma Análise Quase-Experimental,Dados,Ciência Política e Ciências Sociais,2019,2019-2025,regression_discontinuity,Regressão descontínua,"A ideia básica desse desenho é que unidades com valores maiores que um determinado patamar (cutoff) numa determinada variável (forcing variable) recebem tratamento, enquanto aquelas com valores menores, não.",FALSE
S0011-52582019000100300,Diferenciais de Participação Laboral e Rendimento por Gênero e Classes de Renda: uma Investigação sobre o Ônus da Maternidade no Brasil,Dados,Ciência Política e Ciências Sociais,2019,2019-2025,matching_or_weighting,Pareamento ou ponderação,"""optamos por parear os grupos de homens e mulheres segundo as suas características observáveis""; ""regressões quantílicas causais""",TRUE
S0011-52582019000400200,Dificuldades de Coordenação e Políticas Educacionais no Brasil: O Caso do Ensino Fundamental,Dados,Ciência Política e Ciências Sociais,2019,2019-2025,difference_in_differences,Diferenças-em-diferenças,estaríamos considerando como “grupo tratamento” os municípios que transferem seus alunos entre redes de ensino e como “grupo controle” as localidades onde os alunos seguem sempre em uma mesma rede,TRUE
S0102-69092019000300503,GROUPNESS RACIAL E FLUTUAÇÕES ATITUDINAIS DE PARDOS ENTRE FRONTEIRAS SIMBÓLICAS E SOCIAIS,Revista Brasileira de Ciências Sociais,Ciência Política e Ciências Sociais,2019,2019-2025,matching_or_weighting,Pareamento ou ponderação,"empregamos o método de pareamento difuso (coarsened exact matching, CEM) ... para a condução de inferência causal",TRUE
S1981-38212020000100200,Brazilian International Development Cooperation and Public Opinion: Domestic Costs Faced by a Troubled Emerging Donor,Brazilian Political Science Review,Ciência Política,2020,2019-2025,experiment_survey,Experimento em survey,the participants were randomly assigned to a control group or one of two treatment groups,TRUE
S1981-38212020000100201,How 'Democratic' is the Democratic Peace? A Survey Experiment of Foreign Policy Preferences in Brazil and China,Brazilian Political Science Review,Ciência Política,2020,2019-2025,experiment_survey,Experimento em survey,Our study involved survey experiments in China and Brazil.,FALSE
S0104-62762020000200283,Ação afirmativa e desejabilidade social,Opinião Pública,Ciência Política,2020,2019-2025,experiment_list,Experimento de lista,O experimento de lista designa aleatoriamente uma amostra de respondentes para dois grupos: grupo-controle e grupo de tratamento.,FALSE
S0104-62762020000200351,Efeitos do tratamento jornalístico ideologicamente tendencioso no processamento cognitivo da informação política. Uma abordagem experimental,Opinião Pública,Ciência Política,2020,2019-2025,experiment_lab,Experimento de laboratório,Se aplicó un diseño experimental inter-sujetos de grupos aleatorios donde cada tratamiento fue administrado a un grupo distinto de participantes.,TRUE
S0104-62762020000300587,O recrutamento político impacta atitudes e percepções de burocratas em ministérios brasileiros? Evidências empíricas usando matching em survey,Opinião Pública,Ciência Política,2020,2019-2025,matching_or_weighting,Pareamento ou ponderação,"O presente artigo pretende dar um primeiro passo no endereçamento de inferências causais, com o objetivo de testar via matching os efeitos políticos do recrutamento sobre os burocratas presentes no survey.",FALSE
S0103-33522020000200323,O impacto da educação integral na participação das mães no mercado de trabalho e no trabalho infantil: Uma avaliação de impacto do Programa Mais Educação por regressão descontínua,Revista Brasileira de Ciência Política,Ciência Política,2020,2019-2025,difference_in_differences; instrumental_variables; matching_or_weighting; regression_discontinuity,Diferenças-em-diferenças; Variáveis instrumentais; Pareamento ou ponderação; Regressão descontínua,"A partir de 2012, temos, portanto, uma descontinuidade nos critérios de adesão ao programa... Tem-se, assim, a possibilidade de avaliação de impacto do programa por meio de modelos de regressão descontínua fuzzy.",FALSE
S0011-52582021000200207,Prefeitos e a Construção do Apoio Legislativo nos Municípios,Dados,Ciência Política e Ciências Sociais,2021,2019-2025,instrumental_variables,Variáveis instrumentais,elaboramos uma regressão linear de dois estágios,TRUE
S1981-38212022000100202,Sources of the Incumbency (Dis)Advantage,Brazilian Political Science Review,Ciência Política,2022,2019-2025,regression_discontinuity,Regressão descontínua,RDD designs based on elections are particularly common since the discontinuous assignment of victory in close races often provides a credible research design to make causal inferences about the effect of incumbency on the likelihood of reelection.,FALSE
S0104-62762022000300594,O crescimento da direita e o voto em Bolsonaro: causalidade reversa?,Opinião Pública,Ciência Política,2022,2019-2025,experiment_survey,Experimento em survey,Experimentos de survey são caracterizados por uma variação aleatória de um ou mais elementos entre os respondentes.,FALSE
S0103-33522022000200204,Tolerância política e ativismo de protesto no Brasil: efeitos comportamentais do apoio a direitos políticos,Revista Brasileira de Ciência Política,Ciência Política,2022,2019-2025,matching_or_weighting,Pareamento ou ponderação,"utilizamos técnica não paramétrica de combinações (Coarsened Exact Matching - CEM), para controlar os efeitos da tolerância por variáveis",TRUE
S0104-44782022000100201,Experiencias de corrupción en servicios públicos y priorización del medioambiente en América Latina,Revista de Sociologia e Política,Ciência Política,2022,2019-2025,matching_or_weighting,Pareamento ou ponderação,"Muestras emparejadas construidas con el método de vecino más cercano; como un trabajo observacional, tiene limitaciones para hacer inferencia causal.",TRUE
S0104-44782022000100209,Restrição partidária às decisões de carreira de políticos brasileiros: evidências de vereadores brasileiros,Revista de Sociologia e Política,Ciência Política,2022,2019-2025,dag_or_formal_causal_graph; matching_or_weighting,Grafo causal formal; Pareamento ou ponderação,"A partir dele, utilizaremos o pareamento de observações (matching) para controlar variáveis que introduziriam vieses na relação analisada, de forma a permitir a identificação do efeito causal do tratamento.",FALSE
S1981-38212023000100203,"Better Incentives, Better Marks: A Synthetic Control Evaluation of the Educational Policies in Ceará, Brazil",Brazilian Political Science Review,Ciência Política,2023,2019-2025,synthetic_control,Controle sintético,SCM is employed in this investigation to overcome this limitation.,FALSE
S1981-38212023000200204,"From the Specific to the Diffuse: the Indirect Effect of Crime Victimization on Support for Democracy,",Brazilian Political Science Review,Ciência Política,2023,2019-2025,dag_or_formal_causal_graph; matching_or_weighting,Grafo causal formal; Pareamento ou ponderação,"This strategy consists of three main steps. First, I run several matching estimations to achieve covariate balance between treatment and control groups... Second, I employ a novel mediation analysis approach, the regression-with-residuals (RWR)... Third, I run sensitivity analyses",FALSE
S1981-38212023000200201,Mandatory Individual Amendments: a Change in the Pattern of Executive Dominance in the Brazilian Budgetary and Financial Cycle,Brazilian Political Science Review,Ciência Política,2023,2019-2025,difference_in_differences,Diferenças-em-diferenças,"""This arrangement is appropriate for the difference-in-difference method, which consists in comparing changes in the pattern of the dependent variable between the treatment groups – coalition and reelected deputies after EC 86/2015 – and the control group.""",TRUE
S0104-62762023000200270,A corrupção na percepção da sociedade brasileira: persistência e resiliência,Opinião Pública,Ciência Política,2023,2019-2025,experiment_survey,Experimento em survey,The samples of the two surveys were divided into two groups balanced by their socioeconomic characteristics.,TRUE
S0104-62762023000300792,Quem recebe e que diferença fazem: emendas orçamentárias nos municípios brasileiros pós EC 86/2015 (2015-2019),Opinião Pública,Ciência Política,2023,2019-2025,matching_or_weighting,Pareamento ou ponderação,"O objetivo do PSM é estabelecer um grupo que não seja participante do tratamento, mas cujos membros sejam similares aos tratados em todas as características observáveis anteriores ao tratamento.",FALSE
S0103-33522023000300202,Clientelismo e descentralização do imposto sobre terras rurais no Brasil,Revista Brasileira de Ciência Política,Ciência Política,2023,2019-2025,difference_in_differences,Diferenças-em-diferenças,O modelo estatístico para diferença em diferenças é apresentado abaixo.,FALSE
S0102-69092023000100529,Deu match? Uma introdução às técnicas de pareamento,Revista Brasileira de Ciências Sociais,Ciência Política e Ciências Sociais,2023,2019-2025,matching_or_weighting,Pareamento ou ponderação,Aplicamos o CEM (Figura 4) e o PSM (Figura 5).,FALSE
S0104-44782023000100214,Avaliando o impacto da Covid-19 sobre o apoio à democracia no Brasil: um estudo de painel,Revista de Sociologia e Política,Ciência Política,2023,2019-2025,difference_in_differences; matching_or_weighting,Diferenças-em-diferenças; Pareamento ou ponderação,We combine DiD and Propensity Score Matching (PSM) to estimate the impact of the coronavirus crisis on support for democracy in Brazil.,FALSE
S0104-44782023000100212,Como o controle social promove a integridade pública: o papel dos conselhos de política pública para conter a corrupção,Revista de Sociologia e Política,Ciência Política,2023,2019-2025,instrumental_variables; matching_or_weighting,Variáveis instrumentais; Pareamento ou ponderação,"To construct valid comparison groups ... I deploy OLS and GLM regression analysis, non-parametric matching ... and instrumental variable.",FALSE
S2236-57102024000100406,DESIGUALDADES DE GÊNERO E COR/RAÇA ENTRE OS DIRIGENTES MUNICIPAIS E ESTADUAIS NO BRASIL (2010 e 2019),Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,matching_or_weighting,Pareamento ou ponderação,"O uso do matching é recomendado para estudos com variáveis explicativas binárias, sendo capaz de tornar os grupos tratamento (mulheres e negros) e os grupos controle (homens e brancos) semelhantes com relação a covariáveis especificadas.",TRUE
S0011-52582024000100201,Política Distributiva em Coalizão,Dados,Ciência Política e Ciências Sociais,2024,2019-2025,difference_in_differences,Diferenças-em-diferenças,exploro mudanças anuais na filiação de ministros [...] para estimar o efeito do alinhamento com um desenho de diferença-em-diferenças,FALSE
S0104-62762024000100214,As estratégias de policiamento afetam as atitudes políticas? Os efeitos das abordagens policiais na satisfação com a democracia em São Paulo,Opinião Pública,Ciência Política,2024,2019-2025,difference_in_differences; doubly_robust; matching_or_weighting,Diferenças-em-diferenças; Estimador duplamente robusto; Pareamento ou ponderação,"Our identification strategy ... consists of applying a new difference-in-differences estimator, the panel match, which combines matching and weighting to the estimation of difference-in-differences.",FALSE
S0104-62762024000100211,"Conservadores convertidos: o ""efeito Bolsonaro"" em 2018",Opinião Pública,Ciência Política,2024,2019-2025,matching_or_weighting,Pareamento ou ponderação,"Minimizamos esse problema com uma técnica de matching, usada para produzir grupos comparáveis em termos das variáveis contidas no nosso banco de dados",FALSE
S0104-62762024000100201,Desindustrialização e a Dinâmica das Eleições Presidenciais no Brasil (2002-2018),Opinião Pública,Ciência Política,2024,2019-2025,dag_or_formal_causal_graph; doubly_robust; matching_or_weighting,Grafo causal formal; Estimador duplamente robusto; Pareamento ou ponderação,utilizamos Matching com Propensity Score como estratégia de identificação; [...] o Diagrama Causal Acíclico (DAG) [...] deve [...] fechar os backdoors entre o tratamento e o resultado.,TRUE
S0104-62762024000100200,Pesquisas eleitorais e mudanças tardias na decisão do voto,Opinião Pública,Ciência Política,2024,2019-2025,experiment_survey,Experimento em survey,Os participantes foram divididos aleatoriamente em cinco grupos.,FALSE
S0103-33522024000100209,Rage within the machine: engajamento e radicalização entre filiados e dirigentes partidários no Brasil,Revista Brasileira de Ciência Política,Ciência Política,2024,2019-2025,experiment_survey,Experimento em survey,"Os três cenários tratados, apresentados em ordem aleatória ao longo do questionário, examinam se incentivos diversos são capazes de desencadear o engajamento partidário.",FALSE
S2236-57102025000100201,Efeito do monitoramento dos observatórios sociais nos gastos municipais brasileiros,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,difference_in_differences; event_study,Diferenças-em-diferenças; Estudo de evento,"we are forced to move away from the 2×2 approach, with two groups (treatment and control) and two periods (pre and post), adopting the difference-in-differences Two Way Fixed Effects approach",TRUE
S0011-52582025000300209,O Impacto da Guerra às Drogas na Educação das Crianças das Periferias do Rio de Janeiro,Dados,Ciência Política e Ciências Sociais,2025,2019-2025,matching_or_weighting,Pareamento ou ponderação,"O segundo modelo faz um pareamento utilizando uma pontuação de propensão (propensity score matching) de modo a identificar dois grupos de escolas semelhantes em várias características, exceto na exposição à violência.",TRUE
S0104-62762025000100206,"Sobre balas, bíblias e modelos estatísticos: explorando atalhos eleitorais",Opinião Pública,Ciência Política,2025,2019-2025,matching_or_weighting,Pareamento ou ponderação,"Usando matching genético, pareamos casos de candidatos de interesse (tratamento) com dois casos similares [...] (controle); seria possível assumir uma premissa de independência condicional.",FALSE
S0102-69092025000100520,Conselhos municipais de esportes e a provisão de bens e serviços da temática esportiva: uma avaliação de impacto,Revista Brasileira de Ciências Sociais,Ciência Política e Ciências Sociais,2025,2019-2025,matching_or_weighting,Pareamento ou ponderação,O artigo emprega o método quase-experimental por pareamento ou matching [...] buscando o efeito médio do tratamento sobre os tratados.,FALSE
S0104-44782025000100801,Os efeitos da reeleição sobre políticas municipais: evidências de eleições acirradas no Brasil,Revista de Sociologia e Política,Ciência Política,2025,2019-2025,regression_discontinuity,Regressão descontínua,o pressuposto que usamos para identificar o efeito da reeleição é o de que há continuidade nos resultados potenciais ao redor do cutoff,FALSE
